date,btcPrice,cbbiConfidence,regime,dailyReturn,portfolioReturn,equity,bull2x,bull3x,bear1x,usdc,spot
2011-06-28,16.96,0.7164,AGGRESSIVE,0.012509,0.026894,10268.94,0.350,0.450,0.000,0.100,0.100
2011-06-29,16.85,0.7175,AGGRESSIVE,-0.006324,-0.013597,10129.31,0.350,0.450,0.000,0.100,0.100
2011-06-30,16.19,0.7170,AGGRESSIVE,-0.039711,-0.085378,9264.50,0.350,0.450,0.000,0.100,0.100
2011-07-01,15.42,0.6927,AGGRESSIVE,-0.047259,-0.101608,8323.15,0.350,0.450,0.000,0.100,0.100
2011-07-02,15.38,0.6835,AGGRESSIVE,-0.002433,-0.005230,8279.62,0.350,0.450,0.000,0.100,0.100
2011-07-03,15.46,0.6782,AGGRESSIVE,0.004856,0.010441,8366.07,0.350,0.450,0.000,0.100,0.100
2011-07-04,13.85,0.6735,AGGRESSIVE,-0.103817,-0.223206,6498.71,0.350,0.450,0.000,0.100,0.100
2011-07-05,12.96,0.6457,AGGRESSIVE,-0.064101,-0.137817,5603.08,0.350,0.450,0.000,0.100,0.100
2011-07-06,14.71,0.6295,AGGRESSIVE,0.134978,0.290203,7229.11,0.350,0.450,0.000,0.100,0.100
2011-07-07,14.80,0.6455,AGGRESSIVE,0.005607,0.012055,7316.25,0.350,0.450,0.000,0.100,0.100
2011-07-08,14.30,0.6562,AGGRESSIVE,-0.033672,-0.072394,6786.60,0.350,0.450,0.000,0.100,0.100
2011-07-09,14.38,0.6494,AGGRESSIVE,0.005767,0.012399,6870.74,0.350,0.450,0.000,0.100,0.100
2011-07-10,14.62,0.6351,AGGRESSIVE,0.016788,0.036094,7118.74,0.350,0.450,0.000,0.100,0.100
2011-07-11,14.31,0.6438,AGGRESSIVE,-0.021390,-0.045988,6791.36,0.350,0.450,0.000,0.100,0.100
2011-07-12,14.02,0.6313,AGGRESSIVE,-0.020187,-0.043403,6496.60,0.350,0.450,0.000,0.100,0.100
2011-07-13,13.97,0.6333,AGGRESSIVE,-0.003553,-0.007639,6446.97,0.350,0.450,0.000,0.100,0.100
2011-07-14,14.00,0.6197,AGGRESSIVE,0.001898,0.004081,6473.28,0.350,0.450,0.000,0.100,0.100
2011-07-15,13.81,0.6208,AGGRESSIVE,-0.013687,-0.029426,6282.80,0.350,0.450,0.000,0.100,0.100
2011-07-16,13.71,0.6159,AGGRESSIVE,-0.006759,-0.014531,6191.50,0.350,0.450,0.000,0.100,0.100
2011-07-17,13.26,0.6141,AGGRESSIVE,-0.033176,-0.071328,5749.87,0.350,0.450,0.000,0.100,0.100
2011-07-18,13.63,0.6054,AGGRESSIVE,0.028087,0.060388,6097.10,0.350,0.450,0.000,0.100,0.100
2011-07-19,13.82,0.6145,AGGRESSIVE,0.014253,0.030644,6283.93,0.350,0.450,0.000,0.100,0.100
2011-07-20,13.68,0.6235,AGGRESSIVE,-0.010594,-0.022778,6140.80,0.350,0.450,0.000,0.100,0.100
2011-07-21,13.61,0.6224,AGGRESSIVE,-0.004863,-0.010456,6076.59,0.350,0.450,0.000,0.100,0.100
2011-07-22,13.70,0.6197,AGGRESSIVE,0.006372,0.013701,6159.84,0.350,0.450,0.000,0.100,0.100
2011-07-23,13.68,0.6173,AGGRESSIVE,-0.001229,-0.002641,6143.57,0.350,0.450,0.000,0.100,0.100
2011-07-24,13.99,0.6207,AGGRESSIVE,0.022716,0.048840,6443.62,0.350,0.450,0.000,0.100,0.100
2011-07-25,14.03,0.6228,AGGRESSIVE,0.002924,0.006286,6484.13,0.350,0.450,0.000,0.100,0.100
2011-07-26,13.88,0.6122,AGGRESSIVE,-0.011073,-0.023807,6329.76,0.350,0.450,0.000,0.100,0.100
2011-07-27,13.88,0.6073,AGGRESSIVE,0.000014,0.000030,6329.95,0.350,0.450,0.000,0.100,0.100
2011-07-28,13.49,0.5940,AGGRESSIVE,-0.027859,-0.059897,5950.80,0.350,0.450,0.000,0.100,0.100
2011-07-29,13.51,0.5915,AGGRESSIVE,0.001536,0.003303,5970.46,0.350,0.450,0.000,0.100,0.100
2011-07-30,13.54,0.5859,AGGRESSIVE,0.002070,0.004450,5997.02,0.350,0.450,0.000,0.100,0.100
2011-07-31,13.37,0.5898,AGGRESSIVE,-0.012361,-0.026577,5837.64,0.350,0.450,0.000,0.100,0.100
2011-08-01,13.02,0.5906,AGGRESSIVE,-0.026456,-0.056880,5505.60,0.350,0.450,0.000,0.100,0.100
2011-08-02,12.21,0.5810,AGGRESSIVE,-0.061829,-0.132932,4773.73,0.350,0.450,0.000,0.100,0.100
2011-08-03,9.29,0.5579,AGGRESSIVE,-0.239705,-0.515367,2313.51,0.350,0.450,0.000,0.100,0.100
2011-08-04,10.77,0.5119,NORMAL,0.159605,0.191526,2756.60,0.250,0.150,0.000,0.350,0.250
2011-08-05,9.73,0.5136,NORMAL,-0.096425,-0.115710,2437.64,0.250,0.150,0.000,0.350,0.250
2011-08-06,6.96,0.4896,NORMAL,-0.284269,-0.341123,1606.10,0.250,0.150,0.000,0.350,0.250
2011-08-07,8.50,0.4315,NORMAL,0.220791,0.264949,2031.64,0.250,0.150,0.000,0.350,0.250
2011-08-08,7.78,0.4392,NORMAL,-0.085447,-0.102537,1823.32,0.250,0.150,0.000,0.350,0.250
2011-08-09,9.80,0.4463,NORMAL,0.260717,0.312860,2393.76,0.250,0.150,0.000,0.350,0.250
2011-08-10,10.05,0.4907,NORMAL,0.025377,0.030452,2466.66,0.250,0.150,0.000,0.350,0.250
2011-08-11,9.44,0.4971,NORMAL,-0.060972,-0.073166,2286.18,0.250,0.150,0.000,0.350,0.250
2011-08-12,9.45,0.4846,NORMAL,0.001545,0.001854,2290.42,0.250,0.150,0.000,0.350,0.250
2011-08-13,10.00,0.4784,NORMAL,0.058292,0.069950,2450.64,0.250,0.150,0.000,0.350,0.250
