time,open,high,low,close
1630454400,2000.00,2000.45,1987.54,1995.23
1630455300,1995.23,2000.79,1982.72,1990.53
1630456200,1990.53,1993.24,1976.56,1982.84
1630457100,1982.84,1984.91,1974.50,1983.62
1630458000,1983.62,1991.64,1971.84,1980.09
1630458900,1980.09,1981.97,1978.14,1980.28
1630459800,1980.28,1986.18,1976.83,1979.13
1630460700,1979.13,1987.87,1967.69,1971.93
1630461600,1971.93,1980.63,1968.73,1973.00
1630462500,1973.00,1977.56,1963.49,1970.03
1630463400,1970.03,1978.82,1955.93,1963.75
1630464300,1963.75,1970.10,1957.84,1964.95
1630465200,1964.95,1966.70,1953.69,1961.49
1630466100,1961.49,1964.06,1957.15,1962.63
1630467000,1962.63,1967.58,1957.59,1959.64
1630467900,1959.64,1961.57,1950.80,1959.22
1630468800,1959.22,1965.96,1952.97,1956.20
1630469700,1956.20,1959.96,1949.84,1958.58
1630470600,1958.58,1965.36,1952.30,1961.63
1630471500,1961.63,1968.40,1961.45,1962.29
1630472400,1962.29,1963.39,1957.98,1962.30
1630473300,1962.30,1971.68,1952.54,1960.51
1630474200,1960.51,1971.85,1958.63,1963.37
1630475100,1963.37,1965.82,1950.92,1959.54
1630476000,1959.54,1971.46,1952.06,1961.71
1630476900,1961.71,1966.40,1959.04,1965.50
1630477800,1965.50,1971.47,1956.36,1958.00
1630478700,1958.00,1963.84,1956.65,1960.04
1630479600,1960.04,1962.77,1943.73,1953.17
1630480500,1953.17,1958.68,1937.06,1945.95
1630481400,1945.95,1946.57,1651.22,1654.06
1630482300,1654.06,1660.90,1646.00,1648.44
1630483200,1648.44,1651.63,1643.66,1648.91
1630484100,1648.91,1651.00,1640.35,1646.59
1630485000,1646.59,1648.82,1636.81,1642.83
1630485900,1642.83,1648.49,1641.69,1644.23
1630486800,1644.23,1649.52,1636.82,1640.83
1630487700,1640.83,1643.59,1636.70,1642.29
1630488600,1642.29,1645.47,1640.01,1640.61
1630489500,1640.61,1641.16,1630.53,1634.52
1630490400,1634.52,1640.67,1622.11,1630.10
1630491300,1630.10,1631.49,1622.57,1628.62
1630492200,1628.62,1630.68,1622.57,1626.21
1630493100,1626.21,1628.32,1612.31,1620.27
1630494000,1620.27,1620.62,1614.83,1616.60
1630494900,1616.60,1624.11,1609.09,1618.42
1630495800,1618.42,1621.61,1606.19,1613.28
1630496700,1613.28,1617.45,1608.33,1613.25
1630497600,1613.25,1622.24,1605.81,1614.84
1630498500,1614.84,1620.39,1609.87,1610.51
1630499400,1610.51,1612.73,1609.99,1611.75
1630500300,1611.75,1619.66,1610.57,1613.19
