time,open,high,low,close
1630454400,2000.00,2009.96,1999.90,1990.89
1630455300,1990.89,1994.17,1984.92,1984.22
1630456200,1984.22,1990.24,1984.02,1983.19
1630457100,1983.19,1988.72,1978.77,1982.76
1630458000,1982.76,1988.35,1974.50,1976.90
1630458900,1976.90,1977.77,1969.91,1975.67
1630459800,1975.67,1977.37,1974.58,1974.93
1630460700,1974.93,1980.20,1974.07,1974.92
1630461600,1974.92,1975.99,1969.54,1973.99
1630462500,1973.99,1976.50,1968.13,1969.82
1630463400,1969.82,1973.71,1969.53,1971.50
1630464300,1971.50,1976.89,1971.40,1971.63
1630465200,1971.63,1972.63,1964.95,1967.55
1630466100,1967.55,1971.46,1964.14,1965.75
1630467000,1965.75,1974.33,1965.74,1967.55
1630467900,1967.55,1974.45,1966.43,1967.34
1630468800,1967.34,1971.39,1966.27,1966.61
1630469700,1966.61,1967.14,1962.03,1963.20
1630470600,1963.20,1963.27,1956.36,1959.94
1630471500,1959.94,1959.95,1952.43,1956.96
1630472400,1956.96,1957.59,1951.60,1952.83
1630473300,1952.83,1957.53,1952.30,1953.56
1630474200,1953.56,1958.34,1950.71,1950.74
1630475100,1950.74,1952.47,1948.17,1949.74
1630476000,1949.74,1949.82,1946.36,1946.74
1630476900,1946.74,1947.49,1945.28,1946.74
1630477800,1946.74,1951.78,1946.57,1951.00
1630478700,1951.00,1951.54,1943.34,1945.23
1630479600,1945.23,1946.97,1944.21,1946.22
1630480500,1946.22,1948.70,1941.82,1944.38
1630481400,1944.38,1950.64,1944.17,1950.21
1630482300,1950.21,1953.48,1949.95,1952.27
1630483200,1952.27,1954.40,1948.18,1953.51
1630484100,1953.51,1959.18,1952.44,1958.99
1630485000,1958.99,1959.22,1953.04,1954.59
1630485900,1954.59,1958.91,1953.99,1954.17
1630486800,1954.17,1958.75,1952.35,1958.01
1630487700,1958.01,1960.15,1955.75,1959.73
1630488600,1959.73,1959.97,1953.80,1955.97
1630489500,1955.97,1960.70,1955.56,1956.53
1630490400,1956.53,1961.25,1954.73,1959.36
1630491300,1959.36,1961.15,1956.08,1956.74
1630492200,1956.74,1957.96,1953.23,1954.72
1630493100,1954.72,1958.42,1954.19,1956.77
1630494000,1956.77,1960.84,1956.75,1959.26
1630494900,1959.26,1966.15,1958.26,1965.78
1630495800,1965.78,1966.37,1965.78,1966.30
1630496700,1966.30,1971.40,1965.88,1967.44
1630497600,1967.44,1969.75,1965.07,1966.32
