time,open,high,low,close
1630454400,2000.00,2003.86,1990.41,1995.50
1630455300,1995.50,1999.78,1988.61,1992.04
1630456200,1992.04,1992.05,1986.58,1988.84
1630457100,1988.84,1989.60,1980.23,1983.86
1630458000,1983.86,1984.11,1978.37,1981.49
1630458900,1981.49,1983.41,1974.47,1978.07
1630459800,1978.07,1981.80,1971.20,1972.55
1630460700,1972.55,1972.75,1969.48,1970.12
1630461600,1970.12,1972.64,1963.84,1967.93
1630462500,1967.93,1968.29,1964.23,1964.90
1630463400,1964.90,1970.46,1954.50,1959.50
1630464300,1959.50,1960.20,1952.90,1956.35
1630465200,1956.35,1959.08,1948.63,1951.54
1630466100,1951.54,1956.24,1948.60,1948.60
1630467000,1948.60,1954.08,1941.45,1942.85
1630467900,1942.85,1946.19,1935.10,1937.90
1630468800,1937.90,1938.06,1931.33,1933.56
1630469700,1933.56,1937.76,1927.50,1929.82
1630470600,1929.82,1933.13,1923.70,1926.59
1630471500,1926.59,1931.64,1921.52,1923.05
1630472400,1923.05,1926.03,1919.65,1920.12
1630473300,1920.12,1922.01,1911.54,1915.96
1630474200,1915.96,1920.89,1911.51,1913.03
1630475100,1913.03,1917.78,1905.66,1910.12
1630476000,1910.12,1915.02,1900.57,1905.43
1630476900,1905.43,1908.35,1899.17,1901.69
1630477800,1901.69,1906.24,1894.45,1896.02
1630478700,1896.02,1896.81,1889.12,1894.05
1630479600,1894.05,1894.92,1886.27,1890.56
1630480500,1890.56,1892.75,1884.08,1886.12
1630481400,1886.12,1891.02,1879.85,1883.93
1630482300,1883.93,1885.12,1876.16,1880.16
1630483200,1880.16,1883.76,1874.78,1875.82
1630484100,1875.82,1876.83,1870.96,1873.50
1630485000,1873.50,1874.61,1864.92,1868.20
1630485900,1868.20,1872.93,1865.45,1865.45
1630486800,1865.45,1865.57,1859.07,1862.73
1630487700,1862.73,1867.53,1856.76,1858.17
1630488600,1858.17,1863.43,1852.89,1856.31
1630489500,1856.31,1860.37,1846.32,1851.78
1630490400,1851.78,1852.49,1843.69,1847.91
1630491300,1847.91,1853.09,1841.78,1844.85
1630492200,1844.85,1847.94,1839.79,1841.61
1630493100,1841.61,1846.64,1832.32,1836.29
1630494000,1836.29,1836.30,1829.63,1831.27
1630494900,1831.27,1833.05,1824.74,1828.30
1630495800,1828.30,1829.42,1823.22,1825.06
1630496700,1825.06,1829.03,1816.63,1821.80
1630497600,1821.80,1823.67,1815.25,1818.17
1630498500,1818.17,1820.85,1812.84,1814.49
1630499400,1814.49,1818.75,1808.30,1811.03
1630500300,1811.03,1811.74,1807.72,1808.98
1630501200,1808.98,1810.77,1801.25,1806.37
1630502100,1806.37,1811.58,1798.47,1802.07
1630503000,1802.07,1804.80,1795.33,1798.04
1630503900,1798.04,1803.08,1792.41,1793.55
1630504800,1793.55,1795.91,1788.73,1789.87
1630505700,1789.87,1792.10,1784.33,1786.92
1630506600,1786.92,1792.13,1783.63,1784.39
1630507500,1784.39,1784.93,1776.01,1780.90
1630508400,1780.90,1784.33,1772.74,1777.27
1630509300,1777.27,1778.23,1769.70,1773.34
1630510200,1773.34,1775.69,1769.60,1771.16
1630511100,1771.16,1775.73,1765.36,1768.80
1630512000,1768.80,1771.12,1762.37,1766.23
1630512900,1766.23,1769.17,1756.71,1761.55
1630513800,1761.55,1763.71,1751.89,1756.40
