time,open,high,low,close
1630454400,2000.00,2000.80,1997.68,2000.00
1630455300,2000.00,2001.33,1994.83,1998.10
1630456200,1998.10,1999.48,1993.12,1994.00
1630457100,1994.00,1999.17,1988.26,1989.68
1630458000,1989.68,1992.74,1981.37,1986.09
1630458900,1986.09,1991.75,1980.45,1980.82
1630459800,1980.82,1985.21,1974.25,1976.86
1630460700,1976.86,1982.73,1972.13,1977.47
1630461600,1977.47,1982.51,1967.79,1972.09
1630462500,1972.09,1974.53,1965.77,1970.75
1630463400,1970.75,1976.74,1969.78,1971.29
1630464300,1971.29,1975.90,1970.40,1971.34
1630465200,1971.34,1976.77,1969.37,1969.75
1630466100,1969.75,1971.64,1966.53,1968.91
1630467000,1968.91,1971.83,1962.78,1965.34
1630467900,1965.34,1967.20,1965.17,1965.22
1630468800,1965.22,1968.08,1958.60,1963.31
1630469700,1963.31,1966.97,1957.25,1960.53
1630470600,1960.53,1964.70,1955.72,1959.32
1630471500,1959.32,1963.61,1949.03,1954.01
1630472400,1954.01,1957.97,1947.36,1950.59
1630473300,1950.59,1952.77,1950.20,1952.18
1630474200,1952.18,1953.56,1944.88,1948.67
1630475100,1948.67,1952.97,1941.73,1947.49
1630476000,1947.49,1951.04,1945.00,1945.10
1630476900,1945.10,1945.12,1938.69,1941.93
1630477800,1941.93,1944.98,1934.34,1937.05
1630478700,1937.05,1939.54,1935.74,1936.24
1630479600,1936.24,1938.68,1932.73,1937.40
1630480500,1937.40,1940.79,1932.05,1934.53
1630481400,1934.53,1938.02,1929.66,1933.55
1630482300,1933.55,1938.01,1928.28,1928.47
1630483200,1928.47,1929.77,1927.52,1929.50
1630484100,1929.50,1935.31,1928.54,1930.32
1630485000,1930.32,1931.58,1923.26,1925.97
1630485900,1925.97,1927.62,1923.47,1926.48
1630486800,1926.48,1932.12,1921.41,1927.20
1630487700,1927.20,1929.10,1923.15,1926.56
1630488600,1926.56,1932.19,1918.71,1922.15
1630489500,1922.15,1922.40,1917.15,1921.47
1630490400,1921.47,1927.14,1919.02,1921.50
1630491300,1921.50,1924.52,1918.65,1921.52
1630492200,1921.52,1922.29,1916.06,1917.30
1630493100,1917.30,1922.18,1908.93,1913.65
1630494000,1913.65,1914.48,1911.77,1912.75
1630494900,1912.75,1916.29,1902.86,1908.43
1630495800,1908.43,1912.19,1901.46,1907.13
1630496700,1907.13,1911.25,1904.14,1906.41
1630497600,1906.41,1909.38,1898.64,1904.18
1630498500,1904.18,1906.91,1898.35,1899.96
1630499400,1899.96,1902.42,1802.12,1804.96
1630500300,1804.96,1810.55,1802.28,1806.42
1630501200,1806.42,1809.38,1798.14,1803.25
1630502100,1803.25,1809.76,1800.73,1804.89
1630503000,1804.89,1805.35,1799.60,1803.75
1630503900,1803.75,1806.26,1796.05,1801.34
1630504800,1801.34,1805.36,1797.31,1800.21
1630505700,1800.21,1800.44,1794.67,1796.48
1630506600,1796.48,1798.41,1791.15,1796.04
1630507500,1796.04,1799.25,1789.59,1793.96
1630508400,1793.96,1795.28,1787.36,1790.58
1630509300,1790.58,1793.95,1785.01,1785.27
1630510200,1785.27,1787.63,1780.90,1782.35
1630511100,1782.35,1785.46,1776.97,1777.09
